author,date,score,content
shelbythuylinh,"May 26, 2022",10,"Sequel Much Better than Original
Thirty-six years worth that of the wait. Tom Cruise returns to his star making role of Pete Maverick Mitchell that is now a Captain but he has not changed his way of doing things hint his nickname.

Those over him like Ed Harris and Jon Hamm both not agreeing on a professional level what he does but seem to albeit reluctantly have a respect for him personally.

He is reluctantly either given the choice to go back to the Top Gun school but as a teacher or face dishonorable discharge.

Slowly yet surely he has earned the respect of the other pilots. Miles Teller as Rooster Bradshaw holding a grudge against Maverick over his late father, Goose Bradshaw's death in the original as the latter was his best friend.

We see a very ill Val Kilmer in a two to three minutes as his former rival turned close friend Iceman now an admiral. It is very sad but very much worth remembering.

Jennifer Connolly instead of Kelly McGinnis as the new love interest and single mother as the one that got away, the former not so much the latter.

Maverick is more married to his job and that is why he never got married nor had kids.

Great support also from breakout star Glen Powell as a pilot named Hangman who is cocky as he and Teller's Goose have a rivalry there.

Movie is dedicated to the memory of the original director Tony Scott, who tragically died from suicide in 2012."
Joxerlives,"May 28, 2022",8,"Can't remember the last time I smiled so much in the cinema!
This was just such FUN! When I was leaving the cinema people were openly saying how good it was and I had to agree. Ok so large part of it don't make much sense, why do they have to attack with such a small force (in a scenario straight out of Star Wars), why not have the rest of the squadron perform flak suppression on the SAM sites? Lots of homages to the first film not to mention 'The Right Stuff' but had to admit was on the edge of my seat when Mav went to Mach 10. Great gag when he walks into the diner in his burnt flight suit and asks where he is only for the kid to reply ""Earth!"". I think the romance between Mav and Penny was good although I far preferred her before her reduction surgery. Shame they couldn't have got Kelly McGillis back to play Iceman's wife, would have been an nice touch. Speaking of which that was the most emotional part of the film (far more so than all the daddy stuff), seeing Cruise and Kilmer together in a situation that wasn't too far from real life, I highly recommend everyone watch the documentary 'Val' although it is rather heart-breaking. So was it cheesy? Yes, very much so. But was it 2 hours of action, 1980s nostalgia and first rate entertainment? Yes and I would highly recommend it."
XTheXXTruthX,"Jun 12, 2022",10,"Believe the hype
I never thought I would see a movie this well made again.

The 2 hours 10 mins flew by and felt more like 90.

Star turns from all of the cast, drama, tension, humour, romance, terrific action, great soundtrack.

The most engaged I've felt watching a blockbuster in I don't know how long. Blown away."
handmadegiasena,"Jun 11, 2022",10,"Wow!
The nostalgia hit so hard in the opening scene that for the first time ever I cried at the beginning of a movie that wasn't even sad.

We didn't wait a couple of years for this because of the pandemic, we waited 36 years!

It was worth it.

The flight scenes were spectacular. Tom Cruise knows how to make a movie.

See it on the big screen. Don't miss the full experience by waiting."
ShaneC1972,"Aug 29, 2022",6,"Aerial sequences were great, but lazy plot and story could have been so much better.
Ariel sequences were great, but the lazy plot and story could have been so much better.

I think the problem is that Maverick was a 2D character, and one of those dimensions hung on being young, cheeky and good-looking. Thirty years on only the risk taking fighter pilot dimension survives and so to bring Top Gun back, they borrowed far to many themes from the first movie; Hard-ass superiors, Maverick on his last chance, best of the best, hard deck, cocky pilots, pilot rivalry, mysterious enemy. There is really nothing new here, Even for the sentimentality they lazily just relied on the Goose sub-plot line."
andrewazzato,"May 30, 2022",10,"Amazing Movie! See it in IMAX
My Mom is an Army Reserve Veteran. I took her to see it on Memorial Day Weekend. She loved it! It was Awesome! It had all the great feels of the original but better. The whole theatre was clapping & cheering. If you liked Top Gun then you will love Top Gun MaverIck."
latinfineart,"May 29, 2022",6,"Entertaining, but no big deal
I can understand why this movie is so popular in the United States, an audience that the accustomed to Marvel, Disney World and a lot of artificiality in their lives. I consider this movie to be about a 6, it was entertaining if you didn't think about it too much.

The performances were decent but nothing really stood out, there was not a single performance that stood out, everybody did an adequate job. I must confess to never understanding why Joe Hamm is a celebrity or has the tiniest bit of fame, that's one issue I had with the film. There were a couple of characters that were pretty annoying, none of the characters were well-developed, the writing seemed pretty poor, and on the juvenile side, and Tom Cruise's performance was about on par with everyone else. Adequate, but nothing special, just adequate. I would describe this entire movie as nothing special, just adequate.

The best parts were the aerial scenes, but I don't understand why this film is considered special. It was just adequate. The direction, the score, and the performances were good enough. The two performances that stood out for me, were Miles Teller (as usual) and a brief cameo by Val Kilmer, and the cinematography and production were very good."
dreamfactory-534-814309,"Aug 24, 2022",4,"Geiser-teaser overrated nostalgia
For of all, this movie is not a sequel, it's a literal remake of Top Gun, nearly scene by scene. It went the Force Awaken route and just stole the script of its originator while adding aging actors to it.

The new characters added to Top Gun Maverick are all dull and uninteresting. The flying scenes are lame and all shot with what looks like a fisheye Gopro set above the cockpit. To ANYONE who remembers watching the original in theaters, don't try to pretend that this is somehow exciting and an awesome movie. It's long, slow, dull, lazy, marred by a terrible script... If this movie had been released 20 years ago it would have been torn to pieces. I think that the way CGI and the woke movement have destroyed filmmaking, anything that even remotely looks like a real movie is worshipped with an above 8 rating."
buckeyes-05926,"Jun 13, 2025",9,"The best legacy sequel Hollywood has to offer.
Top Gun: Maverick is a thrilling, high-octane sequel that not only honors the original but soars beyond expectations. Over three decades after the first film, Tom Cruise returns as Pete ""Maverick"" Mitchell, now a seasoned Navy pilot called back to train the next generation of Top Gun aviators for a high-risk mission. The film blends nostalgia with modern spectacle, showcasing breathtaking aerial sequences that are as impressive as they are immersive. Cruise's commitment to practical stunts-actually flying real jets-gives the action an authenticity rarely seen in today's CGI-heavy blockbusters.

The emotional core of the story, particularly Maverick's complicated relationship with Rooster (played by Miles Teller), the son of his late friend Goose, adds weight to the adrenaline-fueled narrative. Jennifer Connelly brings charm and maturity as Maverick's love interest, and the supporting cast, including Glen Powell and Monica Barbaro, shine in their roles.

Director Joseph Kosinski balances reverence for the original with fresh energy, creating a film that stands strong on its own. The music, visuals, and pacing all contribute to a theater-worthy experience. Top Gun: Maverick is more than a sequel-it's a powerful reminder of why we go to the movies: to feel the speed, the stakes, and the spirit of adventure."
Who_remembers_Dogtanian,"Sep 9, 2023",8,"AIRPLANE III
Hilariously cheesy but thoroughly enjoyable. They've unashamedly not just included every cliche ever conceived but used them as the basis of the whole thing. Such blatant cheesiness makes this brilliant fun.

What makes this madly and stupidly great is that as the story gets even more preposterous, everyone continues takes it completely seriously. Surely you can't be serious - I am and stop calling me Shirley. It's not quite as funny as AIRPLANE but it's getting there.

Shirley, Tom and the writers intended this to be tongue in cheek, it's too good to be anything else. We're definitely laughing along with them, not at them. Nuttiness aside, it's fabulously put together and the over the top acting from all of the stereotypes, or characters as some might call them is perfect for this wonderful nonsense. I've never enjoyed such a terrible film so much. Tom and co. Certainly know how to entertain us."
illmor-814-204784,"May 23, 2022",9,"THE GODFATHER 2 FOR TOP GUN
Is well known that sequels usually are not worth of the good will their predecessors carry on, but this one is a quite nice exception. You get what is expected of a movie like this, but without a doubt the plus for this one is a super entertained, emotional and immersive film. The sound is great and the air sequences are exciting in a manner you can feel the passion , the excitement the pilot is feeling in their seat. I really loved the air sequences, cannot say right now another movie to highlight in that regard. Again, air sequences are fantastic. FANTASTIC. So real, so natural view, so immersive. Sound is great and of course IMAX is recommended. I loved the cast, all of them are nice and welcomed additions. There are some very emotional scenes that worth the ticket alone. Plot, is made to enjoy. Every bit. Lovely references to prior movie and superb cinematography. Music is good, however didn't find a new classic song for my particular taste, but maybe there is one for you. Super enjoyable product, the one that put you to search where to learn to fly. Absolutely recommended to see it in theaters. So IMMERSIVE experience that not even the best home theater will match. Well, if The Godfather had The Godfather 2, Top Gun has Top Gun Maverick."
vladpogosov,"May 24, 2022",10,"One of the greatest films of the decade!!
Top gun maverick will go down as an classic masterpiece! Tom cruise is still a legend and no one will match his stunts and dedication! My favorite movie of the year!"
gomezerica-76516,"Jun 11, 2022",7,"Little bit predictable, but entertaining
Tom Cruise did a good job portraying Maverick like the 80s egomaniac he would of been.

Plot pretty predictable. Checked all the PC checkboxes and made all the main pilots minorities, including one that continuously passes out mid air. Besides a few ""that's would never happen"" and cheesy scenes, it was entertaining.

Flight screens were awesome and Val Kilmer's appearance was really touching."
gdoumerc1984,"Jun 5, 2022",8,"A very worthy sequel
Just enough nostalgia from the original 1986 movie, retrofitted into 2022 to make everything seem familiar. An older and somewhat wiser Maverick faces new challenges, ghosts from the past, and heroic opportunities to be himself. Best role for Cruise in quite a while, really brought some depth to the character. Very touching to see Val Kilmer reprise his role. You'd swear these two had really been friends for 35 years. And Jennifer Connely was excellent as well. Lastly, the aerials were probably the best I've ever seen. A big thumbs up."
Prismark10,"Jun 16, 2022",7,"Top Gun: Maverick
In the 1980s blockbuster movies were being redefined thanks to MTV. High octane concepts, rock songs, synth scores, colourful photography with plenty of sunsets and fast vehicles.

Top Gun in 1986 was the epitome of this type of movie which began in the early 80s with movies such as American Gigolo and Flashdance.

The aesthetics provided by producers Jerry Bruckheimer and Don Simpson. Director Tony Scott provided the sheen.

36 years later, the sequel arrives. Dedicated to Tony Scott who died in 2012. This is a Bruckheimer/Simpson production even though the latter died in 1996.

Joseph Kosinski who made the belated sequel to Tron is the man hired to direct this tardy follow up.

Captain Pete 'Maverick' Mitchell (Tom Cruise) is a test pilot on an experimental plane designed to go to Mach 10. He has been passed over for promotion many times because of his rebellious attitude.

Maverick is now regarded as a dinosaur. Under the watchful eye of old foe turned friend Iceman (Val Kilmer.) Maverick is back to Top Gun school.

He has a few weeks to prepare a group of hot shots to undertake a dangerous mission to destroy a uranium plant in a rogue country. The plant is guarded by SAM missiles, hostile mountain ranges and there has to be several miracles for the plant to be blown up.

Maverick does not feel cut out to be a trainer. Especially as one of the pupils is the son of his late friend Goose. Bradley 'Rooster' Bradshaw (Miles Teller) is angry at maverick over his father's death and being held back in his flying career.

Top Gun: Maverick follows many of the same beats as the original but with a fresh lick of paint. It even has a knowingly homo erotic football scene on the beach.

The mission is a homage to the original Star Wars. Cruise has insisted that CGI is minimally used, the aerial photography is the tops.

This is a fun popcorn movie. There is little that is groundbreaking or new. It is an alternative to the Marvel blockbusters.

Cruise wisely references the original movie with several clips. There was genuine emotion in the cinema to see Cruise again with Val Kilmer who has been recovering from a serious real life illness."
shelleyalevin,"Feb 5, 2023",3,"Blah
I don't understand the overwhelming positive reaction to this film. The writing is so so soooooo lazy. It's like they just thought, ""we need to have a scene that reminds the audience of this part of the original, we need to have a scene that reminds the audience of that part of the original."" It's beyond predictable, reductive, and overly familiar. I get that it's a sequel but this is ridiculous. And Jennifer Connelly - who I usually like very much - is really annoying in this. I don't necessarily blame her, though, I think it's the writing and directing. A real positive though is this: Miles Tenner is perfectly cast."
richy_palmer,"May 27, 2022",8,"Good but not great
When the opening credits started up I thought we were in for something special. The music, the graphics.. wow.

However the movie ended up being a bit too centered on Maverick where it could have focused a bit more on the supporting characters like Rooster. It was also a bit too melodramatic in parts to the point of being a tad boring inbetween the action.

The music was generally great but Lady Gaga really felt out of place. Could've ended on one of the bangers from the original movie to leave a better ending impression.

The action though was intense and had a lot less CGI than current movies so that was sweet to see.

Overall still a good action movie to see at the theater but needed a bit more to be truly great."
hfreinoso,"Jun 3, 2022",10,"So glad I saw this film.
I was never anticipating Top Gun Maverick. I thought Top GUn was good, but not great. I couldn't care less about the film, but most people and my friends said it was amazing. So I went to see it. And sure enough, it was one of the best experiences I have ever had on the big screen while watching this, and holy sherbert was this a film to have and has no right to be this level of good.

Pros: Because Rarely do you get a sequel that measures well against a Blockbuster like what Top Gun was. But I have to say, and excitedly, Maverick does just that. I enjoyed the action here, great stunt flying by this highly skilled team of aviators because this action was the best action I have seen in a long time. I take it back because the action and suspense were breathtaking. Never had I wanted to beg someone to make it out of life in the most messed up and dangerous situation. The cast was great; Jon Hamm stood out to me as a big presence. Jennifer Connelly looked fantastic; the romance scenes were extremely tasteful and did not detract from this film's core 'action.' The cinematography was first-rate, and the story was solid; the acting was spot on. Jerry Bruckheimer preserved the magic, and There was enough reference material in the movie to remind or retell the original story for those who had not seen Top Gun keep everyone up to speed. Bringing back Val Kilmer was a nice touch as well. The great story they put together to work that in. But Maverick and Rooster were the show stealers of this film; their problems with each other were like a father trying to protect and reconnect with his son. A big plus is that there were more PRACTICAL EFFECTS than CGI. One thing in the modern era where everybody loves to use CGI instead of practical, this was a huge plus for me.

Cons: Nothing much, but I wish there were even more action scenes, as they were all good and entertaining.

Overall, the film was outlandish; they made me like this with some breathtaking action, and I couldn't believe I would skip this film. But I was so glad I saw it on the big screen. 10/10. Perfect."
eddie_baggins,"May 30, 2022",9,"A triumphant return to the skies
After not only a 36 year wait but a painful few years in amongst that awaiting the Covid-19 pandemic to be tolerated enough for cinemas to be back open for business as per usual, the sequel to iconic 1986 action thriller Top Gun has finally landed in the form of the much-hyped Maverick.

A follow-up that has absolutely no right being as good as it is, director Joseph Kosinski and his star Tom Cruise have blown expectations out of the water for their return to the high flying world of American pilot extraordinaire Captain Pete ""Maverick"" Mitchell, a talented and confident loner who is still haunted by the death of his best friend and facing a changing world where his kind of pilot is no longer considered necessary in a changing landscape where man are too be replaced by machine.

Perfectly balancing homages to the past that is sure to please die-hard fans, respecting the era in which Top Gun was birthed into, bringing in new characters to Mitchell's world and giving us a story we can invest in while gifting us the adrenaline rush a film like this should inject into our eyeballs, Maverick is a highly functional balancing act of pure entertainment, thrills and heart and while there's nothing out of the ordinary about the story being told in this venture, Kosinski and Cruise's commitment to the cause and ability to be at one with itself allows Maverick to succeed where so many similar ventures have failed in recent times.

To call Maverick one of the most successful sequels of all-time may seem far too over the top but with all things considered there's reason to be so buoyant about such a statement and the fact all involved with Maverick were up for doing things the old fashioned way when it comes to stunts and set-pieces, ensures that the spectacle found within Kosinski's fast-moving and constantly entertaining exercise is one of the best examples of Hollywood filmmaking seen in the last decade, on par with the likes of Mad Max: Fury Road and Cruise's other beloved property Mission Impossible when it comes to bang for buck and top-tier blockbuster outings.

It's extremely rare for a film of this kind to somehow give time and place to all of its components, giving them time to shine and work alongside one another but that's what happens here as the story of Mitchell's grief and desire to find peace with his life comes full circle, all the while giving us a birds eye view of being a pilot in a generation of advanced military machines, culminating in one of the most memorable finales in some time that is sure to have audience members gripping their seats and swaying their heads left and right as the exploits in the skies take hold and Kosinski and Cruise's imaginations come to a stunning conclusion.

Throughout all of this is a collection of memorable performances with Cruise once more displaying a rare ability to possess Hollywood charisma almost unlike any other peer while new additions to the Top Gun world such as Miles Teller as Goose's son Rooster (with Teller looking uncannily like his fictional father), Jennifer Connelly as Mitchell's love interest Penny and Glenn Powell as the cocky Hangman all making memorable appearances while a touching and important cameo from Iceman himself Val Kilmer will be a significantly memorable moment for many children of the 80's.

Final Say -

Old school Hollywood filmmaking makes a triumphant return in the unexpectedly thrilling (and even moving) experience that is Top Gun: Maverick. A significant achievement for its leading man and a career touchstone for director Joseph Kosinski, if there's one film you see on the big screen this year make it this one.

4 1/2 pairs of aviators out of 5.

For more reviews check out Jordan and Eddie (The Movie Guys)"
bizzyziggy,"Jun 19, 2022",10,"Best thing - No cRap music...
Hollywood, take note. It's getting really sickening hearing cRap music in every movie. Many of us cannot stand it. I'll even tolerate the Lady Gaga garbage.

Also no progressive agenda. This is how you make movies. LEARN!!!"
chrisrock-08933,"Nov 1, 2022",10,"One of the best sequels ever.
One of the best sequels ever. If you loved the first Top Gun, you will absolutely love this. It's hard to EVER top an original, but this one does or ties it. Amazing movie. It pulls on the heart strings and has plenty of intense scenes. They brought back some great original characters and stayed completely true to the original story. You can tell the writers were fans.

The practical effects are amazing and the movies is a ton of fun.

The only thing I thought was weak was the build up in the relationship between Cruise and Connelly. Small potato's for such a great movie.

Bottom line, this rocks."
jcooloti,"Jun 1, 2022",10,"I can't believe I'm about to write this review.
Like so many people, I have a very hard time taking Tom Cruise seriously. I don't dislike him, but I'm not crazy about him. His movie star status is so blown out that I feel like it often makes him a target for punks like me to poke fun at him... still, his films are usually enjoyable. The last film I really liked a lot he did was probably War of the Worlds or the Last Samurai, and I'm not really into the Mission Impossible series. BUT, Top Gun: Maverick is ON A WHOLE OTHER LEVEL. Simply put... THIS. MOVIE. ROCKS.

Where do I even begin? First I will acknowledge the most important aspect of why this sequel is so incredibly good. It's EXPERTLY paced and WELL WRITTEN. This film goes back to a formula that works so well... a formula that most modern film makers dare to revisit because they feel they aren't being original enough... or old fashioned. The simple fact is that this a feel good movie. This is something that most filmmakers dare go during such a tumultuous time in America. I often come out of action/adventure movies now nowadays feeling ashamed of being a member of the human race. I came out of Top Gun: Maverick with a sense of hope. That hasn't happened in a long time. Everyone came out of that theater with a huge grin on their face, even the ones that were acting a little ""too cool"" to admit that they enjoyed it. EVERYONE enjoyed it. It's impossible not to enjoy it... especially on the big screen.

That brings me to my next point: The big screen. Seeing this film in the theater was a good choice. The cinematography involving the very real flying sequences was really, really good. You felt like you were going 10 Gs. It's AWESOME. Simple as that. The realism of the flying is incredible. I'm so happy they didn't go with CGI and kept this real.

There is an emotional element to this sequel's story that really feels so satisfying. It's just hitting all the right notes at all the right spots. It even got me to tear up a bit. The Val Kilmer parts were so tastefully done. Really, really well done with class.

I loved the original movie, in all of it's dated cheesy 80s glory... and this sequel isn't afraid to tap a little into that but not take it too far resulting in a ""throwback"" movie. Even though it feels old fashioned and nostalgic at times, that's a great thing. That's what people want, and it didn't do it TOO much. It got it just right and also felt incredibly fresh.

I've never given a Tom Cruise movie a 10/10... not even the original. But this film deserves the 10/10. Tom Cruise's heartfelt thank you message before the film started made me chortle at first, but part of me thought ""oh dang, he must be really proud of this..."". By the time I was walking out, I see why he did that. He has truly created a fantastic, heartfelt piece of entertainment. I'd be proud too. I have a lot more respect for Tom Cruise now. I hope his films continue to deliver on this level.

Now, go see it on the big screen as soon as possible. I'm not a paid off stooge leaving a good review. I'm a cinephile stooge with good tastes that just really loved this film. Believe the hype."
heath-jeffrey,"May 14, 2023",6,"Cheesy, soap-like, with stereotypical characters
I suspect this is mostly popular for the nostalgia.

To me, from the first 5min through the next 40-ish, it was like watching some kind of remaster of an 80's movie. Same character types, music, one-liners, romance interests, etc, that movies had back then. Just with better quality film and special effects.

So, if you're into the 80's, that might be something positive about it for you. For me, it meant cliche characters, bland rock music, cheesy one-liners, and exaggerated flirting.

That just leaves the broader plot, which is pretty much soap-opera romance and pointless in-fighting, with a dash of too unbelievable to get draw in (in relation to both Maverick's skill level and characters decisions, reactions to each other, etc).

Not awful, but definitely mediocre."
stephenthompsonp,"Jun 1, 2022",10,"Worth seeing again. Great movie.
Every so often Hollywood can still make a good movie; a movie where you feel a connection with the characters and you're right there with them. One that tells a great story, has great acting, doesn't get woke preachy, and you exit smiling, wanting more, and thinking about it for hours and sometimes days. This movie is one of those. A great flick. I do think that if you did not experience the Top Gun of the 80's in the 80's, then you might not experience the nostalgia that they obviously took advantage of - in a really good way. Regardless, Cruise and the entire crew should be proud. If Hollywood made more like this we'd spend alot more time (and money) in the theaters. I enjoyed every minute of it and am planning to go again, which I rarely do."
Atani,"Aug 26, 2022",6,"Bang, Boom, Hurray...
An 80's nostalgia with best of the best winning every impossible situation by any means, anywhere...belongs to the 80's. (Commando, Rambo...). I too wish I still dreamed that there is a place in the world which everything is always A ok, but in real world such a place doesn't exist.

Action of the movie is very good though and of course avoiding the Woke stamp many companies (willingly or not) put on their movies, other than that there's nothing new here.

By the way, what was with fully dyed hair of Maverick with the full gray 5 o'clock shadow!!!"
CthulhianPrognostications,"Jan 1, 2023",3,"???
I'm not sure what is worse... The acting, script, make up (dude, lay off the blush) or the fact that (imo) this movie is CRIMINALLY overrated. My girlfriend and I were literally shocked speechless at how stilted the acting was. And we are both fans of the original, so it has nothing to do with the subject matter.

I think the disgustingly high rating is due to the overall ""dumbing-down"" of society in general. Mediocre has become the new high mark and a public that devours TikTok, Twitter and Snap like gospel deserves nothing better I suppose. This is the drivel that captivates the audience that enables ""social media influencers"".

Tom should stick to his cult ""religion"" and, after this schlock-fest, Shia should stay in the WWII tank movie and drunk & disorderly arrest video wheelhouse.

....and let the ""down-votes"" commence...."
barryellsworth,"Jul 6, 2022",10,"This could be the best movie I've ever seen in my entire life!
I already said everything I have to say. It's absolutely wonderful! None stop action and I think Jennifer Connelly us one of the most beautiful women on the fave of the planet. For me it's the perfect movie!"
mmt-franco,"May 23, 2022",10,"Just... wow. See it in IMAX
Old school filmography under modern expectations. Everything the first one aspired to be but lacked to begin with. Kudos to Tom Cruise and his craziness. Keep 'em coming Tom."
lenardjordan,"Oct 31, 2022",10,"A great movie!
This was by the best movie I have watched in a long time! Joseph Kosinski did a great job directing and the producers did a wonderful job making the movie come together. I feel like it is really hard to make a sequel to a movie better than the first one especially how far apart they were produced, but this movie surpassed the original. The flying scenes were amazing, there were times I felt like I was in the movie and was on the edge of my seat. The camera angle, dialogue and point of view really helped enhance the movie. As a viewer I felt like I was in this amazing action movie. Casting was done perfectly, the actors and actresses that the casting directors chose were perfect for each role."
stjopex,"Oct 9, 2022",10,"Took my breath again
Don't listen to the haters. This is a movie about fighter planes, and the dogfights they are involved in. Just good old American action superbly shot. Everything else in the story is irrelevant as we all know the story. We don't need to know which country went rouge or what 5th gen fighters they have. We don't need to know more about the characters nor do we need their development. Feeding us with nostalgia instead worked for me.

Technically, however, it's a brilliant movie, the shots, the editing, the sound, made me feel like i'm in a flight simulator, especially when Mav stole the fighter to show that the mission can be flown; i even felt dizzy from all the left-right cornering in the canyon. Pure, 100% entertainment guaranteed."
aab874,"May 25, 2022",10,"Penelope ""Penny"" Benjamin (Jennifer Connelly)
Favorite scene with

Penelope ""Penny"" Benjamin (Jennifer Connelly) - Reuniting at the Bar with Pete. Getting back at him by Embarrassing him and having him Thrown Out. Seeing his Reaction to Rooster playing ""Great Balls Of Fire"" on the Piano through the window."
paul-allaer,"May 31, 2022",8,"Superior in every which way to the 1986 original
As ""Top Gun: Maverick"" opens, we are in the ""Mojave Dessert, California"", where Maverick, now a test pilot, is working to fix one of his planes. He is called into a meeting where he's told that Admiral Cain is planning to shut down the program, that Maverick is being transferred back to the Top Gun, this time as a teacher. Before Cain arrives, Maverick takes the hypersonic prototype on one more flight, attempting to reach speeds of 10G. At this point we are 10 min into the movie.

Couple of comments: this long-delayed sequel to the 1986 original ""Top Gun"" is directed by Joseph Kosinski (""Oblivion""). Here he reunites with Tom Cruise, and what a reunion this turns out to be. The movie's script is surprisingly well developed, and hence I was unexpectedly invested in the story and these characters. Then there are the flight scenes. Let's just say that I haven seen anything like it before. Yes, it's that good. The cast is quite good. Cruise is supported by Jennifer Connelly (perfect as the love interest, and thankfully the movie makers decided not to go with someone who is half Tom Cruise's age); Miles Teller is excellent as Rooster (the son of Goose); Jon Hamm and Ed Harris (as higher-ups in the Navy), and last but not least Val Kilmer, who plays in just one scene, but it's a touching one. Bottom line: I was simply blown away by the movie, which is the rare sequel that is superior in every which way to the original. (As an aside, Tom Cruise opened the screening with a heartfelt thank you to all viewers for coming out to the theater. It couldn't have lasted more than 15-20 seconds, but I thought it was a really nice touch. You can say and think of Cruise what you want, but you can't argue that he doesn't take his job seriously, and he'll do just about anything to promote his films and schmooze the crowds.)

After having been delayed for 2 years due to COVID, ""Top Gun: Maverick"" finally premiered in theaters nationwide, to great success both at the box office and with critics (there is good reason why this movie is currently rated 95% fresh at Rotten Tomatoes). Of course you don't have to believe the hype, so I encourage you to check it out (the bigger the movie screen, the better), and draw your own conclusion."
tfstbrice,"Sep 1, 2022",6,"Beautiful action scenes.. the rest I can live without.
The first half of the movie I could do without, the acting took me a while to get use to as a lot of it is a major cheese-fest.

If you can get past that it's worth waiting for the action as that's where the movie is at it's best and the best it is, the real stars are the pilots and planes themselves.

I liked the original but not to the extent that the references made me feel anything other than awareness. It's a good movie none the less but mainly due to the scenes in the air and Tom cruise being Tom cruise which is always a good thing.

To sum up - great action, well shot, awesome sound... Tom is great. Some of the acting can be real cheesy that's the only downside."
xshanex-54161,"May 25, 2022",10,"A Perfect trip Back to the Danger Zone!!!
Top Gun - Maverick is easily amongst the greatest cinematic experiences of my lifetime! It's an intense, fun, nostalgic, action packed and absolutely flawless piece of motion picture gold!

I laughed, cried, and opened my mouth in awe for the ultimate in fan service and the perfect continuation to the legendary Top Gun.

Epic gets used too often, but the word sometimes applies. This blows the word away! I couldn't have asked for anyting more. The little boy in me is filled with happy tears.

Thanks to the legendary Tom Cruise for making this happen. This is why Hollywood exists! 11 out of 10 stra, because 10 isn't enough!"
BA_Harrison,"Jun 13, 2022",7,"I feel the need... the need for cheeze!
Top Gun Maverick is like the original movie, only bigger in every department (well, except for Cruise, who is still short): the action scenes are jaw-dropping, adrenaline-fuelled cinema guaranteed to get the scalp tingling in excitement, while the macho posturing and romantic drama is cheeze, smothered with cheeze, with an extra layer of cheeze, topped with a sprinkling of '80s clichés. In short, it's been designed to appeal to those who worship the original, giving them more of what they love (including another gratuitous bare-chested beach scene for those who like that kind of thing).

I can't say that the first Top Gun is a particular favourite of mine: the action was fine, but everything else felt really corny to me, even in '86. Likewise, this sequel's dramatic moments - the bar scene, the love interest, the rivalry, Maverick's soul-searching - make much of the film feel like a very silly parody. I've got Hot Shots for that! Fortunately, when the film leaves the ground, things improve considerably: Maverick's opening Mach 10 flight is edge-of-the-seat stuff, the training scenes are thrilling, and the final mission is some of the best action that I have seen in a long time, ending the movie on a high, viewers leaving the theatre with a grin almost as wide as Tom's. Mission complete, I guess!"
ashishagupta,"Aug 25, 2022",5,"Underwhelming and unnecessary
There seem to be an overwhelming number of fake reviews on IMDB aimed to boost theater ticket sales. Unfortunately this highly anticipated film is a typical 5/10 action movie sequel.

The writing and screenplay make film school 101 blunders, like violating the principle of show don't tell. After one ""viewing"", a blind person could describe this movie as well as a non-blind person.

The plot development is campy and over the top, typical of cheesy action movies. The character development is forced down your throat, doesn't work.

The casting for this movie is inexplicably bad.

The number of plot holes and illogical nonsense tends to infinity.

A key point in the original movie was that Maverick is actually a very disciplined pilot who pushes it to the limit of what is required. Notwithstanding appearances, he is actually very considerate of his colleagues.

This sequel completely misses the point. Maverick is now an undisciplined showboating pilot. In a similar vein this sequel, despite appearances, is actually inconsiderate of the original film."
markonijecar,"Jun 5, 2022",10,"This one is for us, the lost generation
If you are reading this, before I write about the movie, I want to take a moment and thank @TomCruise for this masterpiece. My father would have loved it (he was a pilot, may he rest in peace).

When I was a kid, my father took me to see the first Top Gun movie. I remember I wanted to be like my dad when I grow up.

3 years ago, I promised him I will take him to see the new Top Gun movie when its out. The movie got delay, and Covid-19 took my father's life.

This week, I went to the cinemas 3 times, alone.

Every time i (re)watched it, same emotions, same pain, same love.

This is is by far the best Masterpiece Tom Cruise was ever a part of. Its a rollercoaster of emotions, too many flashbacks with just the right amount of humor and sarcasm.

Everyone says how the first movie is actually better than the second one. Not in this case, as TG:Maverick outshined its prequel and put a closure on the life of Captain (highly decorated) Pete Mitchell. Yes, he is still a captain, a highly decorated one.

The way the flight sequences were filmed is remarkable. Imagine a 60-year old Tom Cruise being crushed by actual G-forces in a jet fighter. Tom has aged a few years over the past 36, and this movie will be his legacy.

Will I watch it again in dolby and in Digital, and on Bluray? Most definitely."
dilrajsingh-01003,"Aug 29, 2022",10,"...
What. A. Flipping. Film.

God himself made this film.

I would give it a 12,13 even 15 out of 10 if I could.

Not a single mistake.

I have no words.

The rest of this response is because I need to write 600 words so I will also say;

Maverick (the guy) is the flipping GOAT.

Cinematography, storyline, action, dialogue, nostalgia, pace, direction, acting, ""edge of seatness"", emotion, the music, the elite level of film capture... everything. Well done to everyone involved. You made the whole movie, cinema and picture fan base proud to be in love with film.

I only have 85 characters left and I just want to end it saying Top Gun: Maverick will stay in my heart forever more.

Elite... elite."
ecarmo-12113,"Nov 1, 2022",10,"Why Top Gun is a 10/10 movie.
Top Gun is one of the best movies I have seen because of its realistic scenes, the roles of each character, and its action sequences. In this film, the planes are real and specifically designed for each set which creates a realistic scenery for the audience. Top Gun Maverick builds on the characters from the original to create dynamic charters in the sequel. Each action scene was thought out thoroughly adding vivid details including explosions, plane shootings, and the beautiful background which tops off special effects. As I started this movie I was automatically hooked from the beginning to the end."
